ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,ID,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
UR-MOORES,,,Uruguay,,,,0011I00000cinLbQAI,,External Auditors,Unity,0,,,,,
UR-MRE,,,Uruguay,,,,0011I00000cinOJQAY,Ministry / Secretariat,Government,Ministerio De Relaciones Exteriores,0,2902 1010,,,,
UR-MSP,,MONTEVIDEO,Uruguay,,,18 De Julio 1892,0011I00000cinOKQAY,Ministry / Secretariat,Government,Ministerio De Salud Publica,0,,,,,
UR-MSU,,,Uruguay,,,,0011I00000cinRFQAY,,,"Municipalidad De Salto, Uruguay",0,,,,,
UR-MTD,MINTUR,Montevideo,Uruguay,,,,0011I00000cinOMQAY,Ministry / Secretariat,Government,Ministerio De Turismo,0,(+598) 1885,,,,http://www.mintur.gub.uy/
UR-MTOP,,,Uruguay,,,,0011I00000cinOIQAY,Ministry / Secretariat,Government,Ministerio De Obras Publicas,0,,,,,
UR-MTSS,MTSS,Montevideo,Uruguay,11000,,1511 Juncal,0011I00000cinOLQAY,Ministry / Secretariat,Government,Ministerio De Trabajo y Seguridad Social,0,1928 o 29152020,Public Sector,,,https://www.mtss.gub.uy
UR-MVOTMA,,,Uruguay,,,Palacio Taranco,0011I00000cinONQAY,Ministry / Secretariat,Government,Ministerio De Vivienda Ordenamiento Territ. Y Medio Ambiente,0,969989,,,,
UR-NACNMVB,,,Uruguay,,,Juan Carlos Gomez 1372,0011I00000cinLfQAI,Disbursement Bank,Financial Institution,Banco De La Nacion Argentina,0,,,,,
UR-NBC,,,Uruguay,,,Misiones 1352,0011I00000cinQSQAY,,,Nuevo Banco Comercial Sa,0,598.2.140.1487,Private Sector,,,
UR-NICEFIELD,,,Uruguay,,,Avda Uruguay 1283,0011I00000cinQRQAY,,,Nicefield S.A.,0,598 2 9022120,Private Sector,,,
UR-NORMEY PERUZZO,,,Uruguay,,,Avenida Joaquim Requena 1580 Apto 201,0011I00000cinLPQAY,,External Auditors,Luis Normey Grieco Y Fernanda Normey G P,0,,,,,
UR-NS,,,Uruguay,,,Ituzaingo 1393 Escritorio 401,0011I00000cinQPQAY,,,Natelu Sa,0,,Private Sector,,,
UR-NUEVOMANANTIAL,,,Uruguay,,,"Plaza Cagancha 1145, Piso 7",0011I00000cinQTQAY,,,Nuevo Manantial S.r.l.,0,,Private Sector,,,
UR-OIEDMMB,,,Uruguay,,,Aguada,0011I00000cinLzQAI,Disbursement Bank,Financial Institution,Oikocredit Ecumenical Dev.coop.soc.,0,,,,,
UR-OISCA-UR,,,Uruguay,,,,0011I00000cinQVQAY,,,"Organizacion Para El Progreso Industrial, Espiritual Y Cultural, Uruguay",0,,Private Sector,,,
UR-ONSC,,,Uruguay,,,Luis A De Herrera 3350 1er Piso,0011I00000cinNUQAY,,Government,Oficina Nacional Servicio Civil,0,,,,,
UR-OPP,,,Uruguay,,,Andres Lamas 3355-Edificio Libertad,0011I00000cinNTQAY,,Government,Oficina De Planeamiento Y Presupuesto De La Presidencia De La Republica,0,,,,,
UR-OREALC,,,Uruguay,,,,0011I00000cinNVQAY,,Government,Oficina Regional De Educacion Para America Latina Y El Caribe,0,,,,,
UR-OSE,,,Uruguay,,,Calle Rixto No. 1275,0011I00000cinNRQAY,,Government,Obras Sanitarias Del Estado,0,,,,,
UR-OSV,,,Uruguay,,,Aparicio Saravia 3622,0011I00000cinQWQAY,,,Organizacion San Vicente,0,,Private Sector,,,
UR-PAAZMVB,,,Uruguay,,,Rincon 518,0011I00000cinLmQAI,Disbursement Bank,Financial Institution,Banco Pan De Azucar,0,,,,,
UR-PALMATIR,,,Uruguay,,,Avda. Uruguay 1283,0011I00000cinQYQAY,,,"Palmatir, S. A.",0,,Private Sector,,,
UR-PAR,,,Uruguay,,,Av. De Las Leyes S/n,0011I00000cinNWQAY,,Government,Parlamento Uruguayo,0,0800-1825,,,,
UR-PB,,,Uruguay,,,,0011I00000cinNaQAI,,Government,Programa Bolivar,0,,,,,
UR-PCP,,,Uruguay,,,,0011I00000cinM9QAI,,Financial Institution,Prospéritas Capital Partners,0,,,,,
UR-PCRU,,,Uruguay,,,,0011I00000cinNYQAY,,Government,Presidencia Camara De Representantes De La Republica Oriental Del Uruguay,0,,,,,
UR-PCTP,,,Uruguay,,,Camino Aparicio Saravia S/n.,0011I00000cinJSQAY,,Academic Institution,Parque Científico Y Tecnológico De Pando,0,(+ 598) 22922021,,,,
UR-PEREZ,,,Uruguay,,,Constitullentes 1943 - 901,0011I00000cinLSQAY,,External Auditors,Marty Perez & Asociados,0,,,,,
UR-PIGNATTA Y USAL A,,,Uruguay,,,"Guayabo 1729, Esc 202",0011I00000cinLWQAY,,External Auditors,Pignatta Y Usal Asociados,0,,,,,
UR-PNEL,,,Uruguay,,,25 De Mayo 664,0011I00000cinOPQAY,Ministry / Secretariat,Government,Patronato Nacional De Encarcelados Y Liberados,0,59829161400,,,,
UR-PPR,,,Uruguay,,,,0011I00000cinQaQAI,,,Pequenos Productores Rurales,0,,Private Sector,,,
UR-PRESNO,,,Uruguay,,,Rincon 531 Esc 501,0011I00000cinLIQAY,,External Auditors,Estudio Presno Sandar,0,,,,,
UR-PROCISUR,,,Uruguay,,,,0011I00000cinQcQAI,,,Programa Cooperativo Para El Desarrollo Tecnologico Agropecuario Del Cono Sur,0,,Private Sector,,,
UR-PWC,,,Uruguay,,,Casilla De Correo No 73,0011I00000cinLXQAY,,External Auditors,Pricewaterhousecoopers,0,,,,,
UR-REACHINGU,,Montevideo,Uruguay,11300,,Almirante Harwood 6290 Apt 001,0011I00000cinMmQAI,,Foundation,Reaching U,0,598 99 094 470,Private Sector,,,www.reachingu.org
UR-REALMVB,,,Uruguay,,,Treinta Y Tres 1476 Floor 1,0011I00000cinLnQAI,Disbursement Bank,Financial Institution,Banco Real Del Uruguay S.a.,0,,,,,
UR-REDPAGOS,,Montevideo,Uruguay,11300,,Rivera 2452,0011I00000cinMAQAY,,Financial Institution,Redpagos,0,59827008788,Private Sector,,,www.redpagos.com.uy
UR-REDSUR,,,Uruguay,,,"Edificio Mercosur, 3er. Piso - Luis Pier",0011I00000cinMnQAI,,Foundation,Red Mercosur De Investigaciones Económicas,0,24101494,,,,
UR-RESONANCE,,Montevideo,Uruguay,,,Monzón 1839,0011I00000cinQeQAI,,,Resonance Uruguay S.a.,0,598 2614  4054,Private Sector,,,http://www.resonance.com.uy
UR-RIKLUR,,,Uruguay,,,Plaza Independencia 811 Planta Baja,0011I00000cinPxQAI,,,Gnls S.a.,0,,Private Sector,,,
UR-RMSA,,Montevideo,Uruguay,,,Av. Libertador N° 1672,0011I00000cinMBQAY,,Financial Institution,"República Microfinanzas, S.a.",0,+598 2901 64 40,,,,www.republicamicrofinanzas.com.uy
UR-SAINDESUR,,,Uruguay,,,,0011I00000cinQCQAY,,,Inversiones Para El Desarrollo Uruguay S.a.,0,,Private Sector,,,
UR-SCJ,,,Uruguay,,,,0011I00000cinNdQAI,,Government,Suprema Corte De Justicia,0,,,,,
UR-SFD,,,Uruguay,,,Zorrilla 259,0011I00000cinQiQAI,,,Sociedad De Fomento Rural De Durazno,0,,Private Sector,,,
UR-SFRC,,,Uruguay,,,Carlos Maria Ramirez 676,0011I00000cinQjQAI,,,Sociedad De Fomento Rural La Casilla,0,,Private Sector,,,
UR-SNAACC,,,Uruguay,,,18 De Julio Y Convencion,0011I00000cinOSQAY,Ministry / Secretariat,Government,"Secretaria Nacional De Ambiente, Agua Y Cambio Climatico",0,598-1502011,,,,
UR-SNE,,,Uruguay,,,Plaza Independencia 710 - Torre Ejecutiv,0011I00000cinNcQAI,,Government,Sistema Nacional De Emergencias,0,598-150-1353,,,,http://sinae.gub.uy/
UR-SP,,,Uruguay,,,"Edificio Libertad, Piso 7",0011I00000cinOQQAY,Ministry / Secretariat,Government,Secretaria De La Presidencia De La Republica,0,,,,,
UR-SPCD,,,Uruguay,,,,0011I00000cinNSQAY,,Government,Oficina De Planeamiento Y Presupuesto,0,,,,,
UR-SPLF,,,Uruguay,,,Gallinal 587,0011I00000cinQkQAI,,,Sociedad De Productores Leche De Florida,0,,Private Sector,,,
UR-SPR,,,Uruguay,,,,0011I00000cinORQAY,Ministry / Secretariat,Government,"Secretaria De La Presidencia De La Republica, Uruguay",0,,,,,
UR-STORA,,,Uruguay,,,"Luis Alberto De Herrera 1248, Complejo W",0011I00000cinQnQAI,,,Stora Enso Uruguay S.a.,0,598-2632-6320,Private Sector,,,
UR-STRAVOS MOYAL,,,Uruguay,,,Plaza Independencia 822 Esc 101,0011I00000cinLYQAY,,External Auditors,Stravos Moyal Y Asociados Srl,0,,,,,
UR-STRO,,,Uruguay,,,,0011I00000cinMQQAY,,Foundation,Fundacion Stro (Social Trade Organization),0,,,,,
UR-SURIMVB,,,Uruguay,11000,,Rincon 530,0011I00000cinLrQAI,Disbursement Bank,Financial Institution,Banque Heritage S.a.,0,+598 2916 2300,,,,www.heritage.com.uy
UR-TC,,,Uruguay,,,,0011I00000cinLZQAY,,External Auditors,Tribunal De Cuentas - Sai,1,,,,,
UR-TCUR,,,Uruguay,,,"Montevideo, Uruguay",0011I00000cinNhQAI,,International Organization / Program,Tc-Bid Oficina En Uruguay,0,,,,,
UR-TDB,,,Uruguay,,,,0011I00000cinQpQAI,,,Talleres Don Bosco,0,,Private Sector,,,
UR-TEYMASISA,,,Uruguay,,,"Av. Uruguay, 1287",0011I00000cinQtQAI,,,Teyma Sociedad De Inversión S.a.,0,598 29022120,Private Sector,,,
UR-TLM,,,Uruguay,,,Paraguay 1470 Piso 5,0011I00000cinQqQAI,,,Terminal Logistica E Industrial De M'bopicua S.a.,0,,Private Sector,,,
UR-TRIBCTAS,,,Uruguay,,,Juan Carlos Gomez 1324,0011I00000cinNeQAI,,Government,Tribunal De Cuentas,0,,,,,
UR-UCPCE,,,Uruguay,,,,0011I00000cinNfQAI,,Government,Unidad Coordinadora Del Programa De Conectividad Educativa,0,,,,,
UR-UCUDAL,,,Uruguay,,,,0011I00000cinJVQAY,,Academic Institution,"Universidad Catolica Del Uruguay ""Damasoantonio Larranaga""",0,,,,,
UR-UDELAR,,,Uruguay,,,,0011I00000cinJWQAY,,Academic Institution,Universidad De La Republica,0,,,,,
UR-UDMOPP,,,Uruguay,,,"Andres Lamas 3355, Edificio Libertad, Pi",0011I00000cinQyQAI,,,Unidad De Desarrollo Municipal (Opp),0,150-3950,Private Sector,,,
UR-UEGEI,,,Uruguay,,,,0011I00000cinJZQAY,,Academic Institution,Universidad Ort Escuela De Gerencia Y Estudios Internacionales,0,,,,,
UR-UEU,,,Uruguay,,,,0011I00000cinR0QAI,,,"Union De Exportadores, Uruguay",0,(00598 2) 9170105,Private Sector,,,
UR-UHY HUGO GUBBA AS,,,Uruguay,,,Misiones 1372 Oficina 402,0011I00000cinLaQAI,,External Auditors,Uhy - Hugo Gubba Y Asociados,0,,,,,
UR-UNIT,,,Uruguay,,,,0011I00000cinQAQAY,,,Instituto Uruguayo De Normas Tecnicas,0,,Private Sector,,,
UR-UPAEP,,,Uruguay,,,Cebollati 1470,0011I00000cinR1QAI,,,"Union Postal De Las Americas, Espana Y Portugal",0,,Private Sector,,,
UR-UR,,,Uruguay,,,,0011I00000cinNbQAI,,Government,Republica Oriental De Uruguay,0,,,,,
UR-UREE,,,Uruguay,,,,0011I00000cinNgQAI,,Government,"Unidad Reguladora De Energia Electrica, Uruguay",0,005982 4872110,,,,
UR-UR-ELECTRA,,,Uruguay,,,34 Boulevard Simon Bolivar,0011I00000cinPiQAI,,,Electrabel S.a.,0,32 0 2518 61 11,Private Sector,,,
UR-URUGAUY,,,Uruguay,,,Circunvalacion Durango 1429 Pb F,0011I00000cinLCQAY,,External Auditors,Cr Luis A Zunini Andrioli,0,,,,,
UR-URUGUAY,,,Uruguay,,,Av Italia 2533 Torre 4 Oficina 802,0011I00000cinLOQAY,,External Auditors,Luis Alberto Rodriguez Lopez,0,,,,,
UR-URUGUAYXXI,,,Uruguay,,,Rincón 518/528,0011I00000cinNtQAI,,International Organization / Program,Instituto De Promoción De La Inversión Ylas Exportaciones De Bienes Y Servicios,0,(598) 2915 3838,,,,
UR-UTE,UTE,Montevideo,Uruguay,11800,,"Palacio De La Luz
Paraguay  2431",0011I00000cinMsQAI,State Owned Enterprise,Government,Administracion Nacional De Usinas Y Transmisiones Electricas,2,+598 2200 70 77,Public Sector,,,www.ute.com.uy
UR-UTEC,,,Uruguay,,,Avenida Italia 6201 ? Edificio Los Talas,0011I00000cinRGQAY,,,Universidad Tecnológica,0,26038832,,,,
UR-VENGANO,,,Uruguay,,,"Ruta 101 Km 19,950 (14000)",0011I00000cinR3QAI,,,Vengano S.a.,0,,Private Sector,,,
UR-VGV,,,Uruguay,,,,0011I00000cinLDQAY,,External Auditors,Crg & Asociados,0,,,,,
UR-XBHUMVB,,,Uruguay,,,Ave. Daniel Fernandez Crespo 1508,0011I00000cinLiQAI,Disbursement Bank,Financial Institution,Banco Hipotecario Del Uruguay,0,,,,,
UR-YS,,,Uruguay,,,Ituzaingo 1393 Escritorio 401,0011I00000cinR4QAI,,,Yarnel Sa,0,0,Private Sector,,,
UR-ZFPP,,,Uruguay,,,"Luis Alberto De Herrera 1248, Complejo W",0011I00000cinR6QAI,,,Zona Franca Punta Pereira S.a.,0,598-2632-6320,Private Sector,,,
US-AB,,,United States,33149,,727 CRANDON BLVD. # 401,0011I00000cijLDQAY,,,Above & Beyond,0,+1 305-213-6266,,,,
US-ACCION,ACCION,Boston,United States,2129,Massachusetts,"56 Roland Street, Suite 300",0011I00000cij4vQAA,,,Accion Internacional,0,16176257080,Private Sector,,,http://www.accion.org
US-ACUMEN,,,United States,10011,,"76 NINTH AVENUE, SUITE 315",0011I00000cijHYQAY,,,Acumen,0,(212) 566-8821,,,,
US-AF,,Washington D.C.,United States,20005,District of Columbia,"727 15th Street, NW - 11th Floor",0011I00000ciiyZQAQ,,,Appleseed Foundation,0,12023477960,Private Sector,,,http://appleseednetwork.org/
US-AGF,,Boston,United States,,Massachusetts,,0011I00000cij6UQAQ,,Financial Institution,Action Gateway Fund,0,,Private Sector,,,http://www.accion.org
US-AMERRA,,,United States,,,,0011I00000cijE2QAI,,,Amerra Capital Management Llc,0,,,,,
US-ARC,,Hastings-On-Hudson,United States,10706,New York,70 Overlook Road,0011I00000cijBsQAI,,,Arc Finance Ltd,0,9144783851,Private Sector,,,http://www.faqs.org/tax-exempt/NY/Arc-Finance-Ltd-Arc.html http://www.arcfinance.org/
US-BECHNYB,,New York,United States,10022,New York,"400 PARK AVE., FLOOR 22NEW YORK,NY 10022",0011I00000cijCIQAY,,Financial Institution,"Banco Estado de Chile, N.y. Branch",0,12129203234,Public Sector,,,http://www.relbanks.com/south-america/chile/banco-del-estado-de-chile
US-BIZCORPS,,Washington D.C.,United States,20006,District of Columbia,888 16th St. NW,0011I00000cijHWQAY,,,Bizcorps Inc.,0,2023551346,Private Sector,,,bizcorps.org
US-BRACUSA,,New York,United States,10038,New York,"110 William Street, 29th Floor",0011I00000cijC0QAI,,,Brac Usa,0,12128085615,Private Sector,,,http://www.brac.net/
US-BURRILL&CO,,San Francisco,United States,94111,,ONE EMBARCADERO CENTER SUITE 2700,0011I00000cikPyQAI,,Business,Burrill & Company,0,415) 591-5400,Private Sector,,,
US-CAFO,,Bethesda,United States,20814,Maryland,"7315 Wisconsin Avenue, Suite 1000W",0011I00000cijH3QAI,,Foundation,Calvert Foundation,0,18002480337,Private Sector,,,http://www.calvertfoundation.org/about
US-CATALYST,,,United States,,,"900 BROADWAY, SUITE 301",0011I00000cijGwQAI,,,Catalyst Gp Inc.,0,,,,,
US-CICAD,,Washington D.C.,United States,20006,District of Columbia,"1889 F Street, N.W.",0011I00000cij4oQAA,,International Organization / Program,Comision Interamericana de Control de Abusos de Drogas,0,12024583178,Public Sector,,,http://www.oas.org/en/  http://www.cicad.oas.org/apps/Document.aspx?Id=464
US-CIF,,Washington D.C.,United States,20036,District of Columbia,Av. Connecticut 1300,0011I00000cij6XQAQ,,Financial Institution,Latin American Challenge Investment Fund,0,2023313176,Private Sector,,,http://www.cyrano-management.com/lacif/espanol/pdf/lacif_prospecto.pdf
US-CO-CCXC,,Washington D.C.,United States,10019,District of Columbia,110 CENTRAL PARK SOUTH APT 3A,0011I00000cijL3QAI,,Foundation,Consulting Center For Competitiveness,0,12123899808,Private Sector,,,
US-CORECO,,Miami,United States,33129,Florida,"2121 S.W. 3RD AVE, SUITE 200",0011I00000cijAXQAY,,Business,"Coreco Partners I, Llc",0,13055033044,Private Sector,,,http://www.corecoholding.com
US-CPNC,,,United States,22203,,"4245 NORTH FAIRFAX DRIVE, SUITE 100",0011I00000cijAVQAY,,,Capital Partners For Nature And Communities,0,703-841-5692,Private Sector,,,
US-CSIFWAC,,,United States,,,7315 WISCONSIN AVE. SUITE 1100WBETHESDA MD. 20814,0011I00000cijDyQAI,,,Calvert Social Investment Foundatio,0,,,,,
US-E&CO,,,United States,,,,0011I00000ciixtQAA,,Business,E&co.-Lac,0,,Private Sector,,,
US-ECOE,,Washington D.C.,United States,20015,District of Columbia,"5614 Conncecticut Avenue, Nw, #135",0011I00000cijBwQAI,,Business,Ecoenterprises Fund,0,8024532455,Private Sector,,,http://www.ecoenterprisesfund.com
US-EDC,EDC,Boston,United States,02453-8313,Massachusetts,"43 Foundry Avenue Waltham, MA",0011I00000ciiybQAA,,,Education Development Center,0,16179697100,Private Sector,,,www.edc.org
US-ENGL,,New York,United States,10003,New York,"900 BROADWAY, SUITE 301,",0011I00000cijH2QAI,,,Endeavor Global,0,2123523200,Private Sector,,,www.endeavor.org
US-FCF,NI-FCF,Arlington,United States,22304,Virginia,325 COMMERCE AVENUE,0011I00000cijHjQAI,,,Fabretto Childrens Foundation,0,7035258716,Private Sector,,,https://es.fabretto.org/
US-FFH,,Davis,United States,95618,California,"1460 DREW AVENUE, SUITE 300",0011I00000cijGzQAI,,,Freedom From Hunger,0,530-758-6200 X1032,Private Sector,,,www.freedomfromhunger.org
US-FIAS,,Sugar Land,United States,TX 77479,Texas,4771 Sweetwater #194,0011I00000ciiyRQAQ,,Business,Servicio de Asesoría Sobre Inversión Extranjera,0,18777082584,Private Sector,,,http://www.fias.net/
US-FNH,,New York,United States,10029,New York,65 E. 99TH ST. # 14G,0011I00000ciiugQAA,,,Fundacion Nuevos Horizontes,0,(212) 202-7933,Private Sector,,,
US-GAR,,Lexington,United States,40504,Kentucky,1008 S. BROADWAY,0011I00000cijE3QAI,,,Globalagrisk,0,1 (859) 489 6203,Mixed,,,www.globalagrisk.com
US-GCM,,New York,United States,11201,New York,"39 PEARL STREET, SUITE 4F",0011I00000cijH1QAI,,Business,Grassroots Capital Management,0,718 488 8210,Private Sector,,,www.grassrootscap.com
US-GP,GP,Seattle,United States,98101,Washington,1932 First AvenueSuite 400,0011I00000ciiydQAA,,,Global Partnerships,0,2066528773,Private Sector,,,www.globalpartnerships.org
US-GSM,,Atlanta,United States,30328,Georgia,"1000 Abernathy Road,Suite 450",0011I00000cijDrQAI,,,Gsma Mobile For Development Foundation,0,16782816600,Private Sector,,,http://www.gsma.com/mobilefordevelopment/
US-HIP,,Oakland,United States,94612,California,"414 13th Street, Suite 200",0011I00000ciiyYQAQ,,,Hispanics In Philanthropy,0,14158370427,Private Sector,,,https://www.hiponline.org/
US-IADBACO,,,United States,20577,,"1300 NEW YORK AVENUE, N.W.",0011I00000cijIQQAY,,Financial Institution,Inter-American Dev. Bank - Fic Aco,0,,,,,
US-IAF,IAF,Washington D.C.,United States,22203,District of Columbia,"1331 Pennsylvania Ave. NW, Suite 1200 North",0011I00000ciixvQAA,,International Organization / Program,Inter-American Foundation,0,7033064301,Public Sector,,,www.iaf.gov/
US-ICDF,,Washington D.C.,United States,20577,District of Columbia,"1350 NEW YORK AVENUE, NW, B0670",0011I00000cilerQAA,,,Inter-American Culture And Development Foundation,0,202-623-1547,Private Sector,,,
US-IDB,,Bellevue,United States,20577,Washington,"1300 NEW YORK AVE., N.W.",0011I00000cijLAQAY,,Financial Institution,Inter-American Development Bank,0,,Private Sector,,,
US-IFPRI,,Washington D.C.,United States,20006,District of Columbia,2033 K Street.,0011I00000cijC9QAI,,International Organization / Program,International Food And Policy Research Institute,0,12028625600,Private Sector,,,http://www.ifpri.org/
US-IH,,Seattle,United States,98104,Washington,220 Second Avenue South,0011I00000cijKQQAY,,,Impact Hub Seattle,0,2064306007,Private Sector,,,
US-IIC,,,United States,20577,,"1300 NEW YORK AVENUE, N. W.",0011I00000cijIiQAI,,International Organization / Program,Inter-American Investment Corporation,0,,,,,
US-IVE,,,United States,94104,,548 MARKET STREET,0011I00000cijKuQAI,,,Intrinsic Value Exchange,0,415 361 5511,,,,
US-IYF,IYF,Baltimore,United States,21202,Maryland,32 South StreetSuite 500,0011I00000ciiyeQAA,,,International Youth Foundation,0,4109511500,Private Sector,,,www.iyfnet.org/
US-KAUFFMAN,,Kansas City,United States,64110,Missouri,4801 ROCKHILL ROAD,0011I00000cijA1QAI,,,Ewing Marion Kauffman Foundation,0,816 932 1078,Private Sector,,,
US-LAVCA,,New York,United States,10018,New York,"589 8th Ave, Floor 18",0011I00000ciixuQAA,,International Organization / Program,Asociación de Capital de Riesgo de América Latina,0,6463156735,Private Sector,,,http://www.lavca.org
US-LINGOS,LINGOS,Seattle,United States,98004,Washington,3834 94TH AVE NORTHEAST,0011I00000cijBtQAI,,Business,Lingos Global,0,4254264973,Private Sector,,,www.lingos.org
US-MCDF,MSEF,Miami,United States,33131,Florida,"C/O Mgm Innova Capital, LlcMIAMI, FL",0011I00000cijBvQAI,,Business,Microcarbon Development Fund,0,7864372335,Private Sector,,,http://form-d.findthebest.com/l/83240/Microcarbon-Development-Fund-L-P
US-MGM,,Miami,United States,33131,Florida,"2 South Biscayne Blvd, Suite 2610",0011I00000cijA0QAI,,Business,"Mgm Innova Consulting, Llc",0,17869752188,Private Sector,,,http://www.mgminnova.com/
US-NAIDCUCLA,,Los Angeles,United States,CA 90095,California,University of California,0011I00000ciiyaQAA,,Academic Institution,The North American Integration And Development Center Ucla,0,13108254321,Public Sector,,,http://www.naid.ucla.edu/ ; http://www.ucla.edu/
US-NAS,,Washington D.C.,United States,20036,District of Columbia,"1200 18th Street NW Suite 500Washington, DC",0011I00000cijDcQAI,,,National Audubon Society,0,2028612242,Private Sector,,,http://iap.audubon.org/
US-NESST,,,United States,94530,,5917 EL CERRITO,0011I00000cijL9QAI,,,Nesst,0,5037049195,,,,
US-OAS,,,United States,20006,,"17TH ST. & CONSTITUTION AVE., NW",0011I00000cijHDQAY,,,Organization Of American States,0,202-458-3000,,,,
US-OI,OICOLOMBIA,Oak Brook,United States,,Illinois,Calle 70 No 7-30 piso 9. Bogotá - Colombia,0011I00000cij8JQAQ,,Business,Opportunity International,0,5715190952,Private Sector,,,www.oicolombia.com.co
US-OTF,,Belmont,United States,02478-3037,Massachusetts,385 Concord Ave Ste 100,0011I00000ciiygQAA,,Business,"Otf Group, Inc. (Previusly Named ""On Th e Frontier"")",0,6172097500,Private Sector,,,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=31068791
US-PADF,,Washington D.C.,United States,20006,District of Columbia,1889 F STREET NW Second Floor,0011I00000ciiykQAA,,,Pan American Development Foundation,0,2024583969,Private Sector,,,http://www.padf.org/
US-PARTNERS,,Washington D.C.,United States,20005,District of Columbia,"1424 K Street NW, Suite 700Suite 700",0011I00000cij4xQAA,,,Partners Of America,0,12026283300,Private Sector,,,http://www.partners.net/partners/default.asp
US-PATH,,Seattle,United States,98121,Washington,"2201 Westlake Avenue, Suite 200Suite 200",0011I00000cijDqQAI,,,Program For Appropriate Technology In Health,0,2062853500,Private Sector,,,http://www.path.org/
US-PLABS,PuenteLabs,Menlo Park,United States,94025,California,3000 Sand Hill Road B4-210,0011I00000cijImQAI,,Business,Puente Labs,0,6509268861,Private Sector,,,www.puentelabs.com
US-POIM,,,United States,19904,,"160 GREENTREE DRIVE, SUITE 101",0011I00000cijIgQAI,,,Pomona Impact Llc,0,0,,,,
US-PROMUJER,PMI,New York,United States,10001,New York,"253 West 35th Street, 11th Floor South",0011I00000ciiyjQAA,,,Pro Mujer International - New York,0,16466267000,Private Sector,,,http://promujer.org/
US-PSI,,Washington D.C.,United States,20036,District of Columbia,"1120 19TH STREET, NW, SUITE 600",0011I00000cijCNQAY,,,Population Services International,0,2027850072,Private Sector,,,http://www.psi.org/
US-PUENTELABS,PL,San Francisco,United States,94105,California,"44 TEHAMA ST, 5TH FLOOR",0011I00000cijKeQAI,,Business,Puentelabs Llc,0,0,Private Sector,Other,,www.puentelabs.com
US-RAINFORESTALLINC,RA,New York,United States,NY 10279,New York,"233 BROADWAY, 28th Floor",0011I00000cij8yQAA,,,Rainforest Alliance,0,12126771900,Private Sector,,,http://www.rainforest-alliance.org/
US-ROOTCAPITAL,,Cambridge,United States,MA 02139,Massachusetts,"955 Massachusetts Ave, 5th Floor5TH FLOOR",0011I00000cij8IQAQ,,,Root Capital,0,6176615792,Private Sector,,,http://www.rootcapital.org/
US-RUNA,,,United States,,,"315 FLATBUSH AVENUE, BOX 431",0011I00000cijHmQAI,,,Runa Llc,0,(612) 741-2232,,,,
US-S,,,United States,94103,,901 MISSION ST. STE 105,0011I00000cijKpQAI,,,Shellcatch,0,1-917-626-0145,,,,
US-SANDP,,New York,United States,10041,New York,55 Water Street,0011I00000ciiyiQAA,,Business,Standard And Poor's,0,1.87777E+14,Private Sector,,,http://www.standardandpoors.com/
US-SCDF,,New York,United States,10028,New York,171 E 84TH ST APT 4J,0011I00000ciiyoQAA,,Financial Institution,Seed Capital Development Fund Ltd,0,,Private Sector,,,http://www.seed-capital.org/ ; http://www.microfinancegateway.org/p/site/m/template.rc/1.11.46816/ ; http://501c3lookup.org/seed_capital_development_fund_ltd/
US-TCF,,New York,United States,10020,New York,"1271 Avenue of the Americas, 42nd Floor",0011I00000cijHAQAY,,Foundation,The Clinton Foundation,0,2123488882,Private Sector,,,https://www.clintonfoundation.org/
US-TECHNOSERVE,,Washington D.C.,United States,20036,District of Columbia,"1120 19th Street NW, 8th Floor",0011I00000ciiyfQAA,,,Technoserve,0,12027854515,Private Sector,,,www.technoserve.org
US-TFB,,Lakewood,United States,80228,Colorado,"405 URBAN ST., STE. 140",0011I00000cijE1QAI,,,The Friendship Bridge,0,3036740717,Private Sector,,,www.friendshipbridge.org
US-TFTA,,Washington D.C.,United States,20006,District of Columbia,2600 16th Street NW. 4th Floor6th Floor,0011I00000ciiylQAA,,International Organization / Program,Trust For The Americas,0,12024583458,Public Sector,,,http://trustfortheamericas.org/
US-TNC,,,United States,,,,0011I00000cijIRQAY,,International Organization / Program,The Nature Conservancy,0,,,,,
US-VISIONFUND,VFI,Monrovia,United States,CA 91016,California,5 Paises800 West Chestnut Avenue,0011I00000cij8iQAA,,,Visionfund International Headquarters,0,6263038811,Private Sector,,,http://www.visionfund.org/
US-WATERORG,,Kansas City,United States,64105,Missouri,920 Main St. Ste. 1800,0011I00000cijC8QAI,,,Water Org,0,8168778400,Private Sector,,,http://water.org/
US-WHLA,,Seattle,United States,98107,Washington,5335 Ballard Ave Nw,0011I00000cij8zQAA,,Business,"Whl.travel Americas, Llc",0,2064024091,Private Sector,,,www.whlconsulting.com /  https://www.google.pt/#q=5335+Ballard+Ave+Nw%2C+Seattle%2CWhl+Travel+Americas+LLC
