ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,,CREATEDBYID,CREATEDDATE,DESCRIPTION,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,LASTMODIFIEDBYID,LASTMODIFIEDDATE,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
UR-AGESIC,AGESIC,,Uruguay,,,Andes 1365 Piso 7,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Agencia Para El Desarrollo Del Gobierno De Gestión Electrónica Y La Sociedad De,0,,,,,
UR-AIEEM,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Asociación Instituto De Estudios Empresariales De Montevideo,0,,,,,
UR-AIU,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociacion De Ingenieros Del Uruguay,0,,Private Sector,,,
UR-ALADI,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociacion Latinoamericana De Integracion,0,,Private Sector,,,
UR-ALAI,,,Uruguay,,,Rambla República De México 6125,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociacion Latinoamericana De Internet,0,598 2604 22 22,,,,
UR-ANCAP,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,"Administracion Nacional De Combustibles,alcohol Y Portland",0,,,,,
UR-ANEP,,,Uruguay,,,Soriano 1045,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Administracion Nacional De Educacion Publica,0,920935,,,,
UR-ANII,,,Uruguay,,,Rincón 528 Piso 2,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Agencia Nacional De Investigación E Innovación,0,,,,,
UR-ANP,,,Uruguay,,,Rambla 25 De Agosto De 1825 N160,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Administracion Nacional De Puertos,0,,,,,
UR-ANPE,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociacion Nacional De Micro Y Pequenos Empresarios,0,,Private Sector,,,
UR-ANPL,,,Uruguay,,,Magallanes 1862 P.1,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociacion Nacional Productores De Leche,0,924-6137,Private Sector,,,
UR-APFCS,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,"Asociación Pro-Fundación De Las Cienciassociales, Uruguay",0,,Private Sector,,,
UR-ARU,ARU,Montevideo,Uruguay,,,Av. Uruguay  852,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,"Institución gremial privada, de carácter nacional, sin fines de lucro, cuyo objetivo es la defensa y el fomento de los intereses de la producción agraria e industria complementarias y derivadas, la promoción de los trabajadores rurales en todos los planos humanos, éticos, culturales y económicos, la unidad y armonía en el esfuerzo de los que se dedican a la explotación agropecuaria, la defensa del interés nacional a través del esfuerzo del medio y del trabajo agropecuario. Nuestro convencimiento es que la mejor defensa de los intereses del sector agropecuario, para su desarrollo y mejora de la calidad de vida de sus habitantes, es su inserción estratégica en la economía del país. De carácter vocacional y profesional, la acción gremial se basa en el aporte permanente y en la búsqueda de políticas macro y sectoriales, que potencien a los empresarios rurales y agroindustriales en un ámbito de: Libre empresa, Economía de mercado, Y sana competencia.",,International Organization / Program,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociación Rural Del Uruguay,0,+598 2902 0484,Private Sector,,,https://www.aru.org.uy/
UR-ASCNACAFIL,,,Uruguay,,,Casa Central: Arenal Grande 1570,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociación Nacional De Afiliados,0,2400 0714,Private Sector,,,
UR-ASSE,,,Uruguay,,,Av. Luis A. De Herrera 3326,,0051I000000Pt9NQAS,2018-10-04T15:38:01.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Administracion De Servicios De Salud Delestado,0,598-24865008,,,,
UR-ASTUR,,,Uruguay,,,Iturriaga 3379,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Fundación Asturias Uruguay,0,(598) 2622-3096,,,,
UR-ASUDHI,,,Uruguay,,,Cno. Gral. Servando Gómez 2491,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociacion Uruguaya De Hidroponia,0,600-2299,Private Sector,,,
UR-AUCRINA,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Asociacion Uruguaya De Criadores De Nandu,0,,Private Sector,,,
UR-AUDITORES SRL,,,Uruguay,,,Treinta Y Tres 1334/102,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Auditores Asociados Srl,0,,,,,
UR-BANITOD,,,Uruguay,,,Av. Uruguay 1283,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,"Banitod, S.a.",0,(+598)2902 21 20,Private Sector,,,
UR-BBVAUR,BBVA,Montevideo,Uruguay,11000,,25 De Mayo 401,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,Commercial Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Banco Bilbao Vizcaya Argentaria Uruguay Sa,0,598 2916 14 44,Private Sector,,,
UR-BDERMVB,,,Uruguay,,,Cerrito 449,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco Santander,0,,,,,
UR-BDO,,,Uruguay,,,Tel. 951390 Fax. 962229,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Bdo Hector Deffeminis,0,,,,,
UR-BHU,,,Uruguay,,,Avenida Daniel Fernandez Crespo 1508,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco Hipotecario De Uruguay,0,,,,,
UR-BLICMVB,,,Uruguay,,,25 De Mayo 471,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Hsbc Bank (Uruguay),0,,,,,
UR-BONOMI,,,Uruguay,,,1422 Zabala Street,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Estudio Bonomi,0,,,,,
UR-BPS,,,Uruguay,,,Av. Fernando Crespo 1621,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco De Prevision Social,0,598-2-402-1699,,,,
UR-BROU,,,Uruguay,,,Cerrito 351 esq  Zabala,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,Departamento De Credito Promocional,Commercial Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Area Coporativa - Banco de la República Oriental del Uruguay,0,,Mixed,,,
UR-BROUMVB,BROU,,Uruguay,,,Cerrito 351 esq  Zabala,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco de la República Oriental del Uruguay,1,,,,,
UR-BSUDMVB,,,Uruguay,,,Rincon 500,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco Sudameris,0,,,,,
UR-C&G ASOCIADOS SRL,,,Uruguay,,,Av 18 De Julio No 1559 Of 102,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,C & G Asociados Srl,0,,,,,
UR-CADU,,,Uruguay,,,"Palmar 2548, Montevideo 11600",,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cámara Audiovisual Del Uruguay,0,+598 2 7074325,Private Sector,,,
UR-CADYL,,,Uruguay,,,Montevideo 3511 Al 17,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cooperativa Agraria De Young Limitada,0,,Private Sector,,,
UR-CAF,,Montevideo,Uruguay,11100,,"Rio Negro 495, Oficina 201",,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,Es una gremial agropecuaria representante de 26 empresas cooperativas agropecuarias que conforman una Red de cobertura nacional con 13.000 productores asociados.,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cooperativas Agrarias Federadas,0,+598 2900 0012 / 29013339,Private Sector,,,www.caf.org.uy
UR-CALFORU,,,Uruguay,,,Valparaiso 1171/83,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,"Cooperativa Agropecuaria De Sociedades De Fomento Rural, Ltda.",0,,Private Sector,,,
UR-CALITT,,,Uruguay,,,Lavalleja 708,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cooperativa Agropecuaria Limitada De Treinta Y Tres,0,,Private Sector,,,
UR-CAMBADU,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,"Centro De Almaceneros Minoristas, Baristas Y Afines Del Uruguay",0,,Private Sector,,,
UR-CAMM,,,Uruguay,,,Cadiz 3280,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Comisión Administradora Del Mercado Modelo,0,5982 5083389,,,,
UR-CAMPOS,,,Uruguay,,,Montevideo,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Ivonne Campos,0,,,,,
UR-CARLE & ANDRIOLI,,,Uruguay,,,Bulevard Artigas 1441/609,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Juan Diego Carle Riben Dario Andrioli,0,,,,,
UR-CARP/CTMFM,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,International Organization / Program,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Comision Administ. Del Rio De La Plata Ycomision Tecnica Mixta Frente Maritimo,0,,,,,
UR-CARU,,,Uruguay,,,Casilla De Correo 310,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,International Organization / Program,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Comision Administradora Del Rio Uruguay,0,,,,,
UR-CAVID,,,Uruguay,,,Mercedes 993,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Atencion A Victimas De Violencia Y Delito,0,598-2-908-1328,Private Sector,,,
UR-CBCUMVC,,,Uruguay,,,Paysandu Y Florida,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco Central Del Uruguay,0,,,,,
UR-CCABC,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Conciliacion Y Arbitraje De Labolsa De Comercio,0,,Private Sector,,,
UR-CCEAU,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,"Colegio De Contadores, Economistas Y Administradores Del Uruguay",0,,,,,
UR-CCI33,,,Uruguay,,,Manuel Freire 1392,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro Comercial E Industrial De 33,0,045-22232,Private Sector,,,
UR-CCIALP,,,Uruguay,,,Lavalleja 646,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro Comercial E Industrial Y Agrario De Las Piedras,0,3644108,,,,
UR-CCIP,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro Comercial E Industrial De Paysandú,0,,Private Sector,,,
UR-CCIS,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro Comercial E Industrial De Salto,0,,Private Sector,,,
UR-CCU,,,Uruguay,,,Dante 2252,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro Cooperativista Uruguayo,0,,Private Sector,,,
UR-CDI,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Comision Para El Desarrollo De La Inversion,0,,,,,
UR-CDI.ORG,,,Uruguay,,,Aquiles Lanza 1204,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Comite Para Democratizacion De La Informatica (Cdi),0,,,,,
UR-CEAD,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Consejo De Entidades Agropecuarias Para El Desarrollo,0,,,,,
UR-CEAL,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,International Organization / Program,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Comision Economica Para America Latina,0,,,,,
UR-CEFIR,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Formacion Para La Integracion Regional,0,,Private Sector,,,
UR-CENTROCEIBAL,,,Uruguay,,,Av. Italia 6201,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Centro Ceibal,0,26015773,,,,
UR-CEPP,,,Uruguay,,,"Luis Alberto De Herrera 1248, Complejo W",,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Celulosa Y Energía Punta Pereira S.a.,0,,Private Sector,,,
UR-CEPRODIH,,,Uruguay,,,Cerrito 617,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Promocion Por La Dignidad Humana,0,598-2-915-0650,Private Sector,,,
UR-CEROILUR,,,Uruguay,,,Av. Sarmiento 2265,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cereoil Uruguay S.a.,0,,Private Sector,,,
UR-CERTO,,,Uruguay,,,Treinta Y Tres 1271,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,"Certo, S.a.",0,5.41E+11,Private Sector,,,
UR-CES,,,Uruguay,,,Obligado 1058 Bis,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Ensayo De Software,0,(598 2) 706 81 69,Private Sector,,,
UR-CETP,,Montevideo,Uruguay,11200,,San Salvador  1674,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Consejo de Educacion Tecnico Profesional,1,+598 2412 14 94,Public Sector,,,https://www.utu.edu.uy
UR-CEV,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Comision Ejecutora Vivienda,0,,,,,
UR-CFACMVB,,,Uruguay,,,Sarandi 402,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco Bandes Uruguay S.a.,0,,,,,
UR-CFU,,,Uruguay,,,Lauro Muller 2028,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Farmacias Del Uruguay,0,5334485,Private Sector,,,
UR-CGELISA,,,Uruguay,,,Plaza Independencia 811,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Central De Generacion Eolica Libertador I S.a.,0,5.41E+11,Private Sector,,,
UR-CINTERFOR,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,International Organization / Program,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro Interamericano Investigacion Y Documentacion Formacion Profesional,0,,,,,
UR-CINVE,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,"Centro De Investigaciones Economicas, Uruguay",0,,Private Sector,,,
UR-CIPFE,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Investigacion Y Promocion Franciscano Y Ecologico,0,,Private Sector,,,
UR-CITIMVB,,,Uruguay,,,Cerrito 455 - P.o.box 690,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Citibank N.a. Uruguay,0,,,,,
UR-CIU,,Montevideo,Uruguay,11500,,AvenidaItalia 6101,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,"La CAMARA DE INDUSTRIAS DEL URUGUAY es la entidad empresarial representativa del sector industrial del país, constituida el 12 de noviembre de 1898 con el objeto de promover los intereses de la industria nacional, la defensa de sus derechos y estimular el desarrollo industrial del país. Su organización se basa en una estructura esencialmente democrática.",,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Camara De Industrias Del Uruguay,0,+598 2604 04 64,Private Sector,,,www.ciu.com.uy
UR-CLARA,,,Uruguay,,,Rambla Republica De Mexico 6125,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,International Organization / Program,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cooperacion Latino Americana De Redes Avanzadas,0,598-2-604-2222,,,,
UR-CM,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,"Circulo De Montevideo, Uruguay",0,,Private Sector,,,
UR-CNA,,,Uruguay,,,Fernández Crespo 2138,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Camara Nacional De La Alimentacion,0,924-53-44,Private Sector,,,
UR-CNCS,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cámara Nacional De Comercio Y Servicios Del Uruguay,0,,Private Sector,,,
UR-CND,,,Uruguay,,,Rincon 528-Casilla De Correo 977,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Corporacion Nacional Para El Desarrollo,0,,Private Sector,,,
UR-CNEJEV,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Comision Nacional Del Eje Vial Del Cono Sur,0,,,,,
UR-CNFR,,,Uruguay,,,Valparaiso 1171,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Comision Nacional De Fomento Rural,0,,,,,
UR-CNPL,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Cooperativa Nacional De Productores De Leche (Conaprole),0,,,,,
UR-CNZ,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Comisión Nacional De Zoonosis,0,,,,,
UR-COBRAUR,,,Uruguay,,,C/rincon Numero 602 Piso 11 Montevideo,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cobra Ingenieria Uruguay S.a.,0,,Private Sector,,,
UR-COFAC,,,Uruguay,,,Zabala 1338,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Cooperativa Nacional De Ahorro Y Credito,0,916 0100,Private Sector,,,
UR-COLUMVC,,,Uruguay,,,Sarandi 670,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Colombusnet S.a.,0,,,,,
UR-COMEMVB,,,Uruguay,,,Misiones 1399,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Scotiabank Uruguay S.a.,0,,,,,
UR-COMEMVR,,,Uruguay,,,Luis A. De Herrera 1248,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Scotiabank Uruguay S.a. Suc. 24-Wtc,0,,,,,
UR-CONESTE,,,Uruguay,,,"Colonia 810, Piso 7",,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Consorcio Del Este S.a.,0,,Private Sector,,,
UR-CONICYT,,,Uruguay,,,Reconquista 535 Piso 7,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Consejo Nacional De Investigaciones Cientificas Y Tecnicas,0,2912525,,,,
UR-CONSORCIO,,Montevideo,Uruguay,11100,,Rincon 649,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Consorcio Del Uruguay,0,+598 2915 22 95,Private Sector,,,www.consorcio.uy
UR-CPA FERRERE,,Montevideo,Uruguay,,,Juncal 1392,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,CPA Ferrere,0,29001000,,,,
UR-CR MARCELO INTROI,,,Uruguay,,,Plaza Cagancha 1335 Of 101,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Marcelo Introini & Asociados,0,,,,,
UR-CREDITEL,,,Uruguay,,,18 De Julio 1317,,0051I000000Pt9NQAS,2018-10-04T15:38:01.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Socur S.a./ Creditel,0,(5982) 901-1121,Private Sector,,,
UR-CREMMVB,,,Uruguay,,,18 De Julio 1451 Floor 1,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Banco De Credito S.a.,0,,,,,
UR-CRT,,,Uruguay,,,Interseccion Ruta 9 Y Ruta 15,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Corporacion Rochense Turismo,0,047-20358,,,,
UR-CUDECOOP,,,Uruguay,,,Avda. 18 De Julio 948/602,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Confederación Uruguaya De Entidades Cooperativas,0,9087330- 9025339,Private Sector,,,
UR-CUS,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Camara Uruguaya De Software,0,,Private Sector,,,
UR-CVU,,,Uruguay,,,,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Centro De Voluntariado De Uruguay,0,,,,,
UR-CVUR,,,Uruguay,,,Rincón 528 Piso 5 C.p. 11.000,,0051I000000Pt9NQAS,2018-10-04T15:37:55.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:27.000Z,Corporación Vial Del Uruguay,0,1002  1/3,Private Sector,,,
UR-DANON,,,Uruguay,,,Tel. Y Fax. 408-2965,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,External Auditors,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Carlos Danon,0,,,,,
UR-DBLAMVB,,,Uruguay,,,Rincon 390,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,Disbursement Bank,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Discount Bank (Latin America),0,,,,,
UR-DELBA,,,Uruguay,,,Plaza Cagancha 1145. 4to. Piso,,0051I000000Pt9NQAS,2018-10-04T15:37:42.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:25.000Z,Delba Perfuradora Internacional S.a,0,(+5982) 903 0313,,,,
